Index,Username,Index of Photos of Username,Sent Photo Path,Generated Photo Path,Time, Chat ID
1,peterpaleev,1,/Users/peterpaleev/code/ps2/analytics/original_photos/peterpaleev-1.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/peterpaleev-1.jpg,2024-03-28T01:10:58.577Z
2,peterpaleev,2,/Users/peterpaleev/code/ps2/analytics/original_photos/peterpaleev-2.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/peterpaleev-2.jpg,2024-03-28T01:11:49.060Z
3,Kotansky,1,/Users/peterpaleev/code/ps2/analytics/original_photos/Kotansky-1.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/Kotansky-1.jpg,2024-03-28T07:07:56.983Z
4,karis1qaa,1,/Users/peterpaleev/code/ps2/analytics/original_photos/karis1qaa-1.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/karis1qaa-1.jpg,2024-03-28T08:30:32.414Z
5,wyyrrrtnw,1,/Users/peterpaleev/code/ps2/analytics/original_photos/wyyrrrtnw-1.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/wyyrrrtnw-1.jpg,2024-03-28T08:32:33.725Z
6,wyyrrrtnw,2,/Users/peterpaleev/code/ps2/analytics/original_photos/wyyrrrtnw-2.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/wyyrrrtnw-2.jpg,2024-03-28T08:33:43.960Z
7,wyyrrrtnw,3,/Users/peterpaleev/code/ps2/analytics/original_photos/wyyrrrtnw-3.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/wyyrrrtnw-3.jpg,2024-03-28T08:35:13.396Z
8,wyyrrrtnw,4,/Users/peterpaleev/code/ps2/analytics/original_photos/wyyrrrtnw-4.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/wyyrrrtnw-4.jpg,2024-03-28T08:38:26.492Z
9,creamyspinach,1,/Users/peterpaleev/code/ps2/analytics/original_photos/creamyspinach-1.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/creamyspinach-1.jpg,2024-03-28T09:06:45.889Z
10,teodorpal,1,/Users/peterpaleev/code/ps2/analytics/original_photos/teodorpal-1.jpg,/Users/peterpaleev/code/ps2/analytics/generated_photos/teodorpal-1.jpg,2024-03-28T09:56:33.590Z
